repo,total_score,classification,code_quality,git_history,technical_depth,documentation,completeness,red_flags
"AgenC_Moltbook_Agent",25,"ROUGH",6,11,0,8,0,0
"anamnesis",29,"ROUGH",8,11,0,10,2,-2
"anoma.cash",25,"ROUGH",6,11,0,6,2,0
"anon.social",27,"ROUGH",6,11,6,4,2,-2
"anon0mesh",12,"VIBE_CODED",4,11,0,4,3,-10
"anonset",21,"ROUGH",6,11,0,4,0,0
"Arcium-poker",29,"ROUGH",0,11,6,6,8,-2
"Arcshield",37,"ROUGH",5,11,6,10,5,0
"Attesta-Kit",35,"ROUGH",7,11,6,8,6,-3
"AURORAZK_SUBMISSION",43,"BASIC",4,11,15,10,5,-2
"chameo",36,"ROUGH",2,11,13,8,4,-2
"cleanproof-frontend",27,"ROUGH",4,11,3,8,3,-2
"cloakcraft",30,"ROUGH",5,11,13,10,6,-15
"confidential-balances-exploration",30,"ROUGH",6,11,0,10,3,0
"confpay",24,"ROUGH",2,11,6,10,5,-10
"cvct_payroll",32,"ROUGH",4,11,6,6,5,0
"Dark-Null-Protocol",31,"ROUGH",5,11,3,10,2,0
"DarkTip",32,"ROUGH",8,11,3,10,5,-5
"dart-light",25,"ROUGH",6,11,0,8,0,0
"deploy-shield",29,"ROUGH",6,11,0,10,2,0
"donatrade",30,"ROUGH",5,11,6,8,5,-5
"easy-stealth-address",30,"ROUGH",8,11,0,8,3,0
"ECHO",28,"ROUGH",7,11,0,8,2,0
"encryptedMessagingChat",34,"ROUGH",6,11,6,8,3,0
"epoch",24,"ROUGH",3,11,6,6,0,-2
"ExposureCheck",19,"VIBE_CODED",6,11,0,2,2,-2
"flash-loan-pinocchio",23,"ROUGH",6,11,3,1,2,0
"FleekerFun",22,"ROUGH",5,11,0,6,0,0
"flew-private-prediction-market",33,"ROUGH",4,11,6,6,8,-2
"GhostSpeak",28,"ROUGH",4,11,3,10,8,-8
"Hidemypass",25,"ROUGH",3,11,3,8,2,-2
"human-rail",36,"ROUGH",5,11,6,10,6,-2
"hushfold",9,"VIBE_CODED",6,3,0,0,0,0
"hydentity",31,"ROUGH",4,11,9,10,5,-8
"incognito-program",35,"ROUGH",4,11,9,6,6,-1
"incognito-protocol",23,"ROUGH",2,11,6,4,0,0
"Keyed",25,"ROUGH",2,11,6,8,3,-5
"LeakLens",23,"ROUGH",3,11,0,6,3,0
"light-protocol-arcium-experiment",31,"ROUGH",2,11,11,2,5,0
"LioraOS-Claude-SDK",27,"ROUGH",6,11,0,8,2,0
"lynq-frontend",26,"ROUGH",7,11,0,6,2,0
"MINTGHOST---ZK-NFT-Minting",27,"ROUGH",2,11,13,8,6,-13
"mist-cli",25,"ROUGH",6,11,0,8,0,0
"mootvote",34,"ROUGH",2,11,13,4,6,-2
"Mukon-messenger",31,"ROUGH",2,11,6,10,5,-3
"nahualli",40,"BASIC",4,11,15,10,2,-2
"noir_solana",27,"ROUGH",6,11,4,6,0,0
"noir-solana-private-transfers",42,"BASIC",6,11,15,8,2,0
"noir-solana-test-implementation",32,"ROUGH",7,11,9,10,0,-5
"OBSCURA_APP",29,"ROUGH",2,11,13,10,6,-13
"OBSCURA-PRIVACY",29,"ROUGH",2,11,13,10,6,-13
"Obsidian",33,"ROUGH",5,11,6,8,8,-5
"opencoins",24,"ROUGH",4,11,0,6,3,0
"paraloom-core",39,"ROUGH",4,11,9,10,8,-3
"pescrow",25,"ROUGH",6,11,3,3,2,0
"pigeon",29,"ROUGH",6,11,6,6,0,0
"pincon",24,"ROUGH",8,11,3,0,2,0
"PNPFUCIUS",28,"ROUGH",6,11,0,8,3,0
"privacy-cash-api",28,"ROUGH",4,11,3,8,2,0
"privacy-execution-layer",31,"ROUGH",6,11,13,8,6,-13
"privacy-pay",28,"ROUGH",5,11,0,10,2,0
"privacy-vault",37,"ROUGH",2,11,13,10,1,0
"privacylens",26,"ROUGH",9,11,0,8,3,-5
"private-dao-voting",42,"BASIC",4,11,15,10,2,0
"private-state-toolkit-for-solana",36,"ROUGH",6,11,6,8,5,0
